"Nome do Arquivo";"Data";"Tema de Discussão"; "Contagem de Palavras"; "Fala"
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;39;The right hon. Gentleman is not correct. The Festival Office to which he referred is a Civil Service department, part of the department of the Lord President. It is quite a different thing from the Council of the Festival.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;2;indicated assent.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;106;The right hon. Gentleman agrees that is correct. It is perfectly clear that if the start had been made even six month or nine months earlier, the company would have had a much better prospect of getting itself organised and drawing-up its plans so that the job could start in an orderly fashion. As it was, the contractor was obliged to go onto the site and start work with nothing more than preliminary layouts. The plans were fed out to him piecemeal over a long period of months and, as the report says, some of the final plans of the buildings only reached him quite recently.
1951-5-25-Churchill-House of Commons Hansard-Mr. Shurmer  (Birmingham, Sparkbrook).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;3;That is ridiculous.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;22;The hon. Member says it is ridiculous, but does he not remember that when we had a fuel crisis, we were told—
1951-5-25-Churchill-House of Commons Hansard-Mr. Shurmer.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;10;The right hon. Gentleman is talking about something else now.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;44;We were told that the fuel crisis was due to the exceptionally cold winter. When we had a cement shortage last year the Lord Privy Seal, as the then Minister of Works, said it was due in large measure to an exceptionally warm winter.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;2;indicated dissent.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;21;Certainly he did. Now we are told that the over-spending in Battersea Park was due to the exceptional amount of rain.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;62;The right hon. Gentleman said the report of the accountants was an objective report and I think that is fair comment. On page 2 of that report he will find that in paragraph (g) of the list of reasons given by the accountants—who were very experienced—they said one of the main reasons was the exceptionally heavy rainfall during the winter of 1950–51.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;78;If the hon. Member had not interrupted me I was about to say that, of course, the rainfall was exceptionally heavy last winter. But it is no good the Government planning on the basis of statistical averages. An average is merely a half-way mark between fluctuating variations in both directions. Like the average family which consists of 4.2 persons, the average winter is something which just does not exist except in the minds of the gentlemen in Whitehall.
1951-5-25-Churchill-House of Commons Hansard-Mr. Porter (Leeds, Central).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;28;Surely the right hon. Gentleman is not suggesting that the board of this company ought to have known all about building before starting the functions of the company?
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;31;I am suggesting that experience of the theatre, circus, journalism and advertising, which are all represented on the board, were not perhaps the most important qualifications needed for this particular job.
1951-5-25-Churchill-House of Commons Hansard-Mr. Porter.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;11;The job of the board was to run the Festival Gardens.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;21;A theatrical producer, in my opinion, does not seem to be the best person to run this particular type of organisation.
1951-5-25-Churchill-House of Commons Hansard-Mr. Popplewell (Vice-Chamberlain of the Household).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;4;What about Lord Aberconway?
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;19;He resigned almost at once. He was brought in in his capacity as President of the Royal Horticultural Society.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;23;I tried to explain that the £770,000 was liquid capital necessary to finance the scheme. The total constructional cost was estimated at £800,000.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;120;The figure of £800,000 is correct, then. I just wanted to have that confirmed. I should like the right hon. Gentleman to tell us the basis for that estimate of £800,000. How were those figures calculated? Will he also tell us how it was that only four month after the Bill had been passed, only four months after the then Lord President had given the House the figure of £800,000, the estimate of expenditure had climbed up from  £800,000 to £1,168,000—in other words, nearly 50 per cent. more than the figure given to this House—before even the contract had been placed, before a single sod had been cut? That requires some explanation, and I hope that we shall have it.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister (Rutherglen).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;98;The House seemed to follow with rapt attention the speech of the right hon. Gentleman the Member for Streatham (Mr. Sandys), although I think we all thought that it was rather a laborious and tedious study, not going very deeply into the matters involved. At any rate, it was a speech characteristic of the party opposite in relation to the Festival of Britain since the Festival was thought of—a veneer of co-operation veiling absolute detestation of the whole scheme because it was not their scheme and because the right  hon. Gentleman's father-in-law was not at 10, Downing Street.
1951-5-25-Churchill-House of Commons Hansard-Mr. Shurmer.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;3;That is good.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;140;It was a little unfortunate for the Opposition that they chose to put up the right hon. Gentleman to open for them in this debate, because his whole case today has been that the Government started off to do something which is costing a lot more money than the Government expected. That is characteristic, he says, of a Socialist Government. But, at any rate, the Government have produced something. They have produced the Festival Pleasure Gardens. I remember, during the war, when the right hon. Gentleman was at the Ministry of Works, where I spent a little time myself, in a much humbler capacity, the pipe dream that oozed from the lips of the right hon. Gentleman and was blared over the radio—and not only to the listening public here but to the listening public in America—about the Portal house.
1951-5-25-Churchill-House of Commons Hansard-Mr. Mellish  (Bermondsey).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;3;The great planner.
1951-5-25-Churchill-House of Commons Hansard-Mr. H. Macmillan.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;3;The Coalition Government.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;78;The Portal house was produced by the Coalition Government, certainly, but, very fortunately, no right hon. Gentleman on this side of the House and of this Government had any connection with it. We had the late Lord Portal; we had the right hon. Gentleman the Member for Streatham; we had the right hon. Gentleman the Member for Woodford (Mr. Churchill), who was then Prime Minister; but no Labour Minister was in any way attached to the Portal house.
1951-5-25-Churchill-House of Commons Hansard-Mr. Macmillan.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;5;Who was the Parliamentary Secretary?
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;10;The Parliamentary Secretary was, I think, my right hon. Friend—
1951-5-25-Churchill-House of Commons Hansard-Mr. Macmillan.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;2;Hear, hear.
1951-5-25-Churchill-House of Commons Hansard-The Parliamentary Secretary to the Treasury (Mr. William Whiteley).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;1;No.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;29;Yes—a former Member of this House. Anyhow, it is a new  doctrine about Government responsibility to suggest that a Parliamentary Secretary takes full responsibility for what his chief does.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;20;I said that it was no use relying on boards of directors and that one must rely on managing directors.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;35;I think that is precisely the point my right hon. Friend was making, and in "How to run a bassoon factory" the managing director is the director who actually knows where the works are situated.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;37;The hon. Member does not suggest that this is private enterprise. The company was formed by the Government, everything was decided by the Government, and all the shares were held by the Government. Is that private enterprise?
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;116;It is not private enterprise, but surely the right hon. Gentleman follows the argument—that hon. Members opposite are continually accusing this Labour Administration of what they decribe as bureaucratic influence. Here was a board appointed and a loan granted. Let us be fair about the loan which was granted. It was approved not only by the Government, but by the House as a whole, and it was left to the board to administer that loan and to get on with the job. It would have been intolerable if the then Lord President of the Council or any other Minister had interfered in the day to day or week to week conduct of the board of management.
1951-5-25-Churchill-House of Commons Hansard-Mr. Orbach (Willesden, East).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;26;Is it not a fact that all the work at the Festival Gardens was, in fact, done by private contractors working under the board of directors?
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;65;That, of course, is entirely true, but I would agree with the right hon. Gentleman the Member for Streatham that the contractors are not at fault in this matter. There is no criticism of them in this report, and I myself would have hesitated before accepting a tender of a company which was not one of the great companies in the constructional and engineering field.
1951-5-25-Churchill-House of Commons Hansard-Mr. H. Macmillan.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;22;I am surprised at the hon. Gentleman. Do I understand him now to be in favour of employing one of the monopolists?
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;39;The contract went out to tender, and the company received a number of replies. They accepted the  lowest tender, which I do not think is always the wise thing to do, but it is the habit in public administration.
1951-5-25-Churchill-House of Commons Hansard-Sir Ralph Glyn (Abingdon).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;109;I am sure the House will be in sympathy with the Lord Privy Seal in having to make the excuses here for so many faults for which he has not the least responsibility. We all have some knowledge of him personally, and some of us directly in his business capacity. I am quite sure that of all the jobs he has ever done he must have hated today's job more than any other.. It is not a matter so much of personality, but trying to deal with the situation as we find it today and to see how the taxpayer is to be saved from very grievous financial loss.
1951-5-25-Churchill-House of Commons Hansard-Commander Noble (Chelsea).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;13;I wonder whether my hon. Friend was there when the fireworks went off?
1951-5-25-Churchill-House of Commons Hansard-Sir R. Glyn.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;91;I understand that so strong were the representations made by my hon. and gallant Friend the Member for Chelsea that the public are only to have fireworks on two days a week instead of four. That will decrease the number of fireworks but may not increase the sleep of my hon. and gallant Friend's constituents and, on the whole, I think they would rather have had the fireworks. It is a matter which the weather will decide rather than a Member of Parliament. After all, damp fireworks are not much good.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;18;Does the hon. Gentleman really mean a £2½ million loss? Is he not ignoring revenue of £1½ million?
1951-5-25-Churchill-House of Commons Hansard-Sir R. Glyn.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;110;I know about that, but I call it a loss of £2½ million because I have every reason to believe that there will be charges in connection with London Passenger Transport and other matters to  be borne by the taxpayer which ought properly to be among the costs of the exhibition. I only hope that I shall be proved wrong and that the loss will not be £2½million. It certainly will not be so much if we keep Festival Gardens open long enough to make them pay, as well as to pay for some of the money lost on the South Bank. Festival Gardens will be a real money spinner.
1951-5-25-Churchill-House of Commons Hansard-Mr. Pannell (Leeds, West).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;32;The hon. Member has referred to a well known Communist whom he links with the Amalgamated Engineering Union. I take it that he is not making an allegation against the union itself?
1951-5-25-Churchill-House of Commons Hansard-Sir R. Glyn.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;60;Certainly not. I am certainly not against the union, but I say that the properly elected representatives in some of these unions are not getting the support they should get from the bulk of the membership. They allow a very small minority of agitators to do a great deal of harm which brings contempt upon the union as a whole.
1951-5-25-Churchill-House of Commons Hansard-Mr. Pannell.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;58;I did not think the hon. Gentleman would do so. I am one of the Parliamentary representatives of the Amalgamated Engineering Union. I should like the hon. Gentleman to know that the union is not Communist-controlled, because of a long process of hard work and disenchantment that was carried out. They are solidly behind the Labour Government today.
1951-5-25-Churchill-House of Commons Hansard-Sir R. Glyn.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;29;I am delighted to hear it. I can assure the hon. Gentleman that I fully appreciate all that he and his colleagues have done to eliminate the Communist influence.
1951-5-25-Churchill-House of Commons Hansard-Mr. Henry Brooke (Hampstead).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;99;The House has had the benefit of the views of the hon. Member for Rutherglen (Mr. McAllister) and the hon. Member for Abingdon (Sir R. Glyn), and now I want to speak as a Londoner. The hon. Member for Rutherglen made a speech which may give satisfaction in his constituency, but I assure him that it will not be much enjoyed by Londoners when they read it tomorrow. He said that, at any rate, the Government have produced something. Any of us can produce great results if we can have virtually unlimited amounts of public money to play with.
1951-5-25-Churchill-House of Commons Hansard-Mr. Pannell.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;14;But presumably the hon. Gentleman and his friends from the local authorities accepted it.
1951-5-25-Churchill-House of Commons Hansard-Mr. Brooke.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;104;I do not follow the hon. Gentleman. The great difficulty with which all the local authority representatives were faced at that time was the paucity of knowledge, because nobody could sufficiently assure us what the new  gardens were expected to look like and what was to happen in them. It was a general and vague idea. We were fully convinced—especially those who work in the neighbourhood of County Hall—that there would be gross overcrowding in the South Bank Exhibition if no alternative attraction were created in London to try to draw the crowd away, and I think that may have influenced many of us.
1951-5-25-Churchill-House of Commons Hansard-Mr. Pannell.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;9;The hon. Gentleman would probably have made it worse.
1951-5-25-Churchill-House of Commons Hansard-Mr. Brooke.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;15;The hon. Gentleman raises a hypothetical question which I do not feel disposed to answer.
1951-5-25-Churchill-House of Commons Hansard-Commander Noble (Chelsea).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;91;I did not intend to take part in the debate, but I have been prompted to do so by the remark of the Lord Privy Seal that a very easy way out of the financial troubles in this matter would be to continue the Festival Gardens and fun fair for up to four years. Other hon. Members seem to be supporting that view. I do hope that we shall be very careful how we approach any decision to extend the period during which Battersea Park will be used for this purpose.
1951-5-25-Churchill-House of Commons Hansard-Mr. Gibson (Clapham).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;114;Like the hon. Member for Hampstead (Mr. H. Brooke), I am a member of the London County Council, and I am also in close touch with what the London ratepayers think about this, and in particularly close touch with the ratepayers who live in the district; but I have not met the violent criticisms and objections in the areas surrounding Battersea Park which the hon. Gentleman seems to imagine. Londoners are enjoying themselves a very great deal in the Festival Gardens. Many of them would like to see the arrangements carried on for very much longer, quite apart from the attempt to recoup some of what appear at the moment to be huge losses.
1951-5-25-Churchill-House of Commons Hansard-Mr. Marples (Wallasey).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;70;After the last three speeches it is quite clear that the Pleasure Gardens cannot continue after the closing date unless there is adequate consultation with the local authorities and that, in addition, no pledge made by the new Foreign Secretary, then Lord President, should be broken. The right hon. Gentleman the Lord Privy Seal, in opening the debate, asked individual Members what they thought about keeping the Festival Gardens open.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;3;Only in spots.
1951-5-25-Churchill-House of Commons Hansard-Mr. Marples.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;13;It only needs a few spots to cost a large amount of money.
1951-5-25-Churchill-House of Commons Hansard-Mr. Porter.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;37;Is the hon. Member suggesting that the three contractors who made firm estimates for the work they were to do did so without seeing the sites and without understanding the fabric on which they were to work?
1951-5-25-Churchill-House of Commons Hansard-Mr. Marples.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;138;The hon. Member has a complete misconception of how it was handled. Had he read the White Paper, he would have found how it was done. The authorities—that is, Festival Gardens, Ltd.—sent out to all contractors a document in which were certain specific operations which had to be carried out. Each contractor was required to put next to each operation a price. He had to do the work for that price. In the document sent out by the authorities planning this operation, they said, "Hard core up to nine inches. How much will it cost?" The point was that they did not realise that it was going to take hard core "in spots" up to five feet. Therefore, the contractor was putting down a price on an operation which, in fact, was not going to be carried out.
1951-5-25-Churchill-House of Commons Hansard-Mr. Porter.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;30;Surely the small amount at first expended by the contractor is due to the fact that only manpower and machines were used in that period, with no cost for materials.
1951-5-25-Churchill-House of Commons Hansard-Mr. Marples.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;61;The reason for lack of progress in the early stages was that no plans and no information were available. I have seen the correspondence that has passed, and I assure the hon. Member that the reason only £86,000 worth of work was done in the first six months was that no instructions were given as to what had to be done.
1951-5-25-Churchill-House of Commons Hansard-Mr. Porter.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;47;For the ordinary process of this type of job, it is usual for the contractor first to prepare the site. This work is often given to a different contractor from those who are to put up the superstructures when the preparation on the ground has been done.
1951-5-25-Churchill-House of Commons Hansard-Mr. Marples.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;104;That is very interesting, but highly irrelevant to this particular point, because if the plans were not received the contractor could not do the  work. He must be told how he is to prepare his site and what he is to do. In this case, however, he was not even given any instructions. The detailed plans are being received now, and he is at this very moment working on detailed plans given to him one or two months after the date fixed for completion; so that he can scarcely be blamed for not keeping on time if he is not told what to do.
1951-5-25-Churchill-House of Commons Hansard-Mr. Pannell (Leeds, West).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;80;I shall not attempt to follow the hon. Member for Wallasey (Mr. Marples) because he speaks with specialised knowledge in a field of which I have no knowledge, except to say that he seemed to give a lecture on certain fundamentals of building and that he was rather being wise after the event.  I do not want to suggest that it was useless because, of course, we are holding an inquiry or, as I suppose he would say, an inquest.
1951-5-25-Churchill-House of Commons Hansard-Mr. Henry Strauss (Norwich, South).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;101;Does the hon. Member realise that on the Second Reading of the principal Measure, which enabled Battersea Park to be taken over for this purpose, and which contained in itself specific provisions for the reinstatement of the park after six months, the Minister of Transport said that every provision was made in the Bill for its restoration to the public immediately the period of the Festival was over? There were also specific pledges to the local authorities. I hope that the hon. Gentleman is not suggesting that, the Measure having been obtained on those assurances, those assurances should now be disregarded.
1951-5-25-Churchill-House of Commons Hansard-Mr. Pannell.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;22;I think that the hon. and learned Gentleman has made a fair point, and I will come to it in a moment.
1951-5-25-Churchill-House of Commons Hansard-Mr. Harold Macmillan (Bromley).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;107;There is one general observation which I hope I may be allowed to make upon the position in which we find ourselves today. I trust that in making this reflection I shall not be thought guilty of any disrespect to you, Sir, or of any breach of the canons of good taste. I suppose that it would be reasonable to suppose that there is no one of us who has not, at some time or another, fallen a victim to that peculiar state of moral and physical depression which follows normally and inexorably on the morning after some excessive or at least imprudent jollification the night before.
1951-5-25-Churchill-House of Commons Hansard-Mr. James Hudson (Ealing, North).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;5;I know nothing about it.
